year,dependency_ratio_total,elderly_population_65_plus,elderly_share_65_plus_percent,fertility_rate,life_expectancy_total,old_age_dependency_ratio,population_growth_annual_percent,population_total,working_age_population_15_64,working_age_share_15_64_percent,youth_dependency_ratio,youth_population_0_14,youth_share_0_14_percent,youth_to_working_age_ratio,elderly_to_working_age_ratio,working_age_population_change,elderly_population_change
2000,58.5977290277002,226447.0,7.33069132123503,2.217,74.826,11.62630820162324,-0.637356833943492,3089027.0,1947712.0,63.0526057298341,46.97142082607695,914868.0,29.6167029489308,0.46971420826076954,0.11626308201623238,,
2001,57.83517059934261,232750.0,7.60579089173614,2.141,75.083,12.004594497434292,-0.93847042771206,3060173.0,1938841.0,63.3572203567186,45.83057610190831,888582.0,29.0369887515453,0.45830576101908305,0.12004594497434291,-8871.0,6303.0
2002,56.736702211002566,241470.0,7.91442944240309,2.002,75.299,12.404813974025254,-0.299876697084691,3051010.0,1946583.0,63.8012540793314,44.331888236977306,862957.0,28.2843164782655,0.44331888236977307,0.12404813974025254,7742.0,8720.0
2003,55.61399781396147,250494.0,8.24096501461232,2.006,75.557,12.824110929936698,-0.374149169291299,3039616.0,1953305.0,64.2615866296247,42.78988688402477,835817.0,27.4974483557629,0.4278988688402477,0.12824110929936697,6722.0,9024.0
2004,54.52112290675046,259893.0,8.58600861824839,1.889,75.951,13.267184504082872,-0.417931377925999,3026939.0,1958916.0,64.7160584866188,41.2539384026676,808130.0,26.6979328951328,0.412539384026676,0.1326718450408287,5611.0,9399.0
2005,53.44354076883647,269801.0,8.95907851317178,1.787,76.427,13.747107156723573,-0.511790116421897,3011487.0,1962602.0,65.170542224898,39.6964336121129,779083.0,25.8703792619302,0.39696433612112897,0.13747107156723573,3686.0,9908.0
2006,52.41323532183008,280112.0,9.36032202611209,1.686,76.994,14.266367803903654,-0.630911244851673,2992547.0,1963443.0,65.6110994839565,38.14686751792642,748992.0,25.0285784899314,0.3814686751792642,0.14266367803903654,841.0,10311.0
2007,51.438839199897615,290307.0,9.77459627170979,1.633,77.691,14.802526413688769,-0.75571875541991,2970017.0,1961199.0,66.033265550449,36.63631278620885,718511.0,24.1921381778413,0.36636312786208847,0.14802526413688769,-2244.0,10195.0
2008,50.475962915481546,300052.0,10.1805404435552,1.616,78.248,15.319241052943822,-0.767342959142321,2947314.0,1958661.0,66.4557863939707,35.15672186253772,688601.0,23.363673162474,0.3515672186253772,0.15319241052943822,-2538.0,9745.0
2009,49.46272901089756,309245.0,10.5633856320802,1.638,78.509,15.7883182425033,-0.673894046451936,2927519.0,1958695.0,66.9063216544298,33.67441076839427,659579.0,22.53029271349,0.33674410768394264,0.157883182425033,34.0,9193.0
2010,48.40341391619674,318103.0,10.9200550479108,1.653,78.414,16.205709185407155,-0.49646196338738,2913021.0,1962907.0,67.3838908889083,32.19770473078959,632011.0,21.6960540631808,0.3219770473078959,0.16205709185407155,4212.0,8858.0
2011,47.39391651725331,326201.0,11.2281830971209,1.677,78.303,16.549672711185252,-0.269017331764615,2905195.0,1971042.0,67.8454159774467,30.84424380606806,607953.0,20.9264009254324,0.3084424380606806,0.1654967271118525,8135.0,8098.0
2012,46.6305614201807,329248.0,11.5093140765442,1.719,78.084,16.876178584627183,-1.54313670532257,2860708.0,1950963.0,68.198600414295,29.75438283555352,580497.0,20.2920855091608,0.29754382835553517,0.16876178584627183,-20079.0,3047.0
2013,46.229489134153226,332962.0,11.8201351814959,1.741,77.995,17.284542792431516,-1.54314471365633,2816902.0,1926357.0,68.3856722403311,28.944946341721707,557583.0,19.794192578173,0.28944946341721706,0.17284542792431518,-24606.0,3714.0
2014,46.099079719702175,337478.0,12.1667692065035,1.721,78.029,17.775546837800597,-1.54313753739282,2773767.0,1898552.0,68.4466928018412,28.32353288190157,537737.0,19.3865379916553,0.28323532881901575,0.177755468378006,-27805.0,4516.0
2015,46.063682495576046,342589.0,12.5431065412926,1.631,78.358,18.32092379780452,-1.54312006878448,2731293.0,1869933.0,68.4632957891861,27.742758697771524,518771.0,18.9935976695213,0.27742758697771525,0.1832092379780452,-28619.0,5111.0
2016,46.04186418791751,347485.0,12.9202121629827,1.555,78.643,18.868913223144983,-1.54313470861992,2689469.0,1841574.0,68.473513186339,27.172950964772525,500410.0,18.6062746506784,0.27172950964772524,0.18868913223144984,-28359.0,4896.0
2017,46.17477818101533,352365.0,13.3053911120274,1.486,78.9,19.449143771819674,-1.54315156766944,2648285.0,1811725.0,68.411252681582,26.72563440919566,484195.0,18.2833562063906,0.2672563440919566,0.19449143771819674,-29849.0,4880.0
2018,46.50893245403992,358290.0,13.739521828078,1.415,79.238,20.129624240272285,-1.54309991591532,2607733.0,1779914.0,68.2552118334715,26.379308213767636,469529.0,18.0052663384505,0.2637930821376763,0.20129624240272284,-31811.0,5925.0
2019,47.04237530779362,365863.0,14.2480986631067,1.395,79.467,20.95075302067228,-1.54313709096794,2567801.0,1746300.0,68.0076096803147,26.09162228712134,455638.0,17.7442916565786,0.2609162228712134,0.20950753020672278,-33614.0,7573.0
2020,47.68647126853031,373381.0,14.7670044100644,1.371,77.824,21.808873520787824,-1.54315589345436,2528480.0,1712060.0,67.7110196944345,25.877597747742488,443040.0,17.5219758955011,0.25877597747742487,0.21808873520787822,-34240.0,7518.0
2021,48.441601724710495,380087.0,15.2660050732804,1.365,76.844,22.661090929470383,-1.54312080996395,2489762.0,1677267.0,67.3665631972931,25.780510795240115,432408.0,17.3674317294264,0.25780510795240114,0.22661090929470382,-34793.0,6706.0
2022,49.25104634350506,386778.0,15.7763381628571,1.355,78.769,23.546335895289552,-1.54315667695786,2451636.0,1642625.0,67.0011896981477,25.704710448215508,422232.0,17.2224721389952,0.25704710448215506,0.23546335895289552,-34642.0,6691.0
2023,50.02392582373193,393546.0,16.3020000675759,1.348,79.602,24.45691487378351,-1.54310811387613,2414095.0,1609140.0,66.6560264328305,25.567010949948425,411409.0,17.0419734995937,0.2556701094994842,0.2445691487378351,-33485.0,6768.0
2024,50.97429383464854,402276.0,16.922756199529,1.341,79.776,25.549038598942538,-1.54314393524594,2377128.0,1574525.0,66.2364608476109,25.425255235706008,400327.0,16.8407829528601,0.25425255235706007,0.25549038598942536,-34615.0,8730.0
2025,52.04106333987253,415053.0,17.6221063807332,,,26.792841608682096,,2355297.0,1549119.0,65.7716964503975,25.24822173119044,391125.0,16.6061971688693,0.2524822173119044,0.26792841608682094,-25406.0,12777.0
2026,53.0442234071778,427795.0,18.3266418880236,,,28.047845804542646,,2334281.0,1525233.0,65.3405912341764,24.99637760263514,381253.0,16.3327668778001,0.2499637760263514,0.2804784580454265,-23886.0,12742.0
2027,53.87987319519908,440078.0,19.0145996759696,,,29.25964931876993,,2314421.0,1504044.0,64.9857664601049,24.620223876429147,370299.0,15.9996338639255,0.24620223876429148,0.2925964931876993,-21189.0,12283.0
2028,54.5204079021272,451386.0,19.6732039279991,,,30.39910672074113,,2294421.0,1484866.0,64.7163795025225,24.121301181386062,358169.0,15.6104165694784,0.24121301181386065,0.3039910672074113,-19178.0,11308.0
2029,55.0029471790556,461627.0,20.2941739704942,,,31.456587882153723,,2274676.0,1467505.0,64.5149235087868,23.546359296901883,345544.0,15.190902520719,0.23546359296901884,0.31456587882153725,-17361.0,10241.0
2030,55.43506587519907,470656.0,20.8759359029299,1.324,80.839,32.44851668769434,,2254539.0,1450470.0,64.3355533640108,22.98654918750474,333413.0,14.7885107330592,0.2298654918750474,0.32448516687694334,-17035.0,9029.0
2031,55.895508074724766,478892.0,21.4248153239587,,,33.40031176004938,,2235222.0,1433795.0,64.1455182534159,22.49519631467539,322535.0,14.4296664226254,0.2249519631467539,0.3340031176004938,-16675.0,8236.0
2032,56.39924989960314,486458.0,21.9522031244687,,,34.333114307028765,,2215985.0,1416877.0,63.9389444294694,22.066135592574373,312650.0,14.1088524460619,0.22066135592574374,0.34333114307028767,-16918.0,7566.0
2033,56.98704893411234,493550.0,22.4743146997462,,,35.28177164462167,,2196062.0,1398881.0,63.6995063453071,21.70527728949067,303631.0,13.8261789549467,0.2170527728949067,0.3528177164462167,-17996.0,7092.0
2034,57.61789127937049,500210.0,22.9904523452746,,,36.23707060799112,,2175729.0,1380382.0,63.4445727790155,21.38082067137937,295137.0,13.5649748757099,0.21380820671379372,0.36237070607991123,-18499.0,6660.0
2035,58.19910492379965,506156.0,23.477503131589,1.347,81.709,37.141186199771205,,2155920.0,1362789.0,63.2114931260649,21.057918724028443,286975.0,13.3110037423461,0.21057918724028443,0.37141186199771203,-17593.0,5946.0
