year,fdi_percent_gdp,gdp_current_usd,gdp_growth_annual_percent,gdp_per_capita_current_usd,net_migration,population_growth_annual_percent,population_total,remittances_percent_gdp,unemployment_total_percent,eurostat_emigration_from_europe,eurostat_immigration_to_europe,total_first_residence_permits,education_permits,employment_permits,family_permits,net_migration_rate_per_1000,residence_permits_per_100k_population,employment_permit_share,education_permit_share,family_permit_share,migration_pressure_index
2000,3.9893207113692,3584570164.85195,7.46285871776054,1160.42047054038,-60531.0,-0.637356833943492,3089027.0,16.6770344143812,19.023,,,,,,,-19.595490748381287,,,,,19.595490748381287
2001,5.10708868615592,4059064033.13379,8.8637306604876,1326.41652388077,-48070.0,-0.93847042771206,3060173.0,17.2281095910701,18.57,,,,,,,-15.708262245304434,,,,,15.708262245304434
2002,2.99003115858884,4515003116.68036,4.62839587394552,1479.83884572006,-45178.0,-0.299876697084691,3051010.0,16.2473863481927,17.891,,,,,,,-14.807555530791442,,,,,14.807555530791442
2003,3.06868730168473,5801712040.48463,5.33326426009945,1908.69900687608,-48517.0,-0.374149169291299,3039616.0,15.3187296457995,16.985,,,,,,,-15.96155567018992,,,,,15.96155567018992
2004,4.60782278585291,7406645793.44038,5.26626173860785,2446.90949947798,-48654.0,-0.417931377925999,3026939.0,15.670684644424,16.306,,,,,,,-16.07366385645697,,,,,16.07366385645697
2005,3.17899814544722,8256658249.8128,5.13082193056189,2741.72136549578,-48893.0,-0.511790116421897,3011487.0,15.6201731609198,15.966,,,,,,,-16.235500933591943,,,,,16.235500933591943
2006,3.55321913781567,9150528132.17633,6.0189812403864,3057.77257038113,-48882.0,-0.630911244851673,2992547.0,14.8567088699863,15.626,,,,,,,-16.33458054292882,,,,,16.33458054292882
2007,5.86740351847628,11116937869.8568,6.50009261158209,3743.05529896187,-49770.0,-0.75571875541991,2970017.0,13.2052550548158,15.966,,,,,,,-16.757479839340988,,,,,16.757479839340988
2008,9.40665320050491,13258506375.4518,6.90706230713707,4498.50486763601,-50619.0,-0.767342959142321,2947314.0,14.0708275191369,13.06,,,2424872.0,407006.0,737366.0,681431.0,-17.174620688532002,82273.96198708384,0.3040845042542451,0.1678463852937392,0.2810173073052928,82291.13660777237
2009,10.9068201480963,12335540656.1006,2.69075152362146,4213.65007574693,-51657.0,-0.673894046451936,2927519.0,13.9247890307559,13.674,,,2279189.0,470809.0,618918.0,668135.0,-17.64531673406731,77853.94390266981,0.271551854628993,0.2065686522706103,0.2931459391915282,77871.58921940388
2010,9.01744998049889,12086545641.299,2.97315442681247,4149.14469936847,-51907.0,-0.49646196338738,2913021.0,13.1267801276088,14.086,,,2417235.0,477621.0,778042.0,779178.0,-17.818958394052085,82980.34926627718,0.3218727182090281,0.197589808189936,0.3223426766532836,82998.16822467123
2011,8.08329285826067,12973755874.5365,2.46351683915714,4465.70914328865,-18630.0,-0.269017331764615,2905195.0,11.963216583924,13.481,,,2084134.0,457699.0,491321.0,710126.0,-6.412650441708732,71738.17936489634,0.2357434790661253,0.2196111190547248,0.3407295308267127,71744.59201533804
2012,7.49597513325321,12246499747.9714,0.984129880204108,4280.93316338873,-19845.0,-1.54313670532257,2860708.0,11.5932923255515,13.376,,,2037669.0,426266.0,456380.0,678707.0,-6.937093894238769,71229.53478649342,0.2239716067722481,0.209192955283709,0.3330801028037429,71236.47188038766
2013,9.80035898039468,12796985886.1478,1.7072283175406,4542.92903556739,-20681.0,-1.54314471365633,2816902.0,10.0167971204892,15.866,,,2280476.0,428997.0,509591.0,670490.0,-7.341753458231774,80956.88099905499,0.2234581727674398,0.1881173053345003,0.294013179704588,80964.22275251322
2014,8.64846635716115,13296322588.1684,2.24022695382642,4793.59751131525,-21706.0,-1.54313753739282,2773767.0,10.6872215602712,18.055,,,2217412.0,434843.0,540863.0,668252.0,-7.825459023775249,79942.25902896674,0.2439163312907118,0.1961038363641939,0.3013657362727359,79950.08448799052
2015,8.62740636982337,11470171826.9575,2.2277040745779,4199.53912925398,-20500.0,-1.54312006878448,2731293.0,11.2540904144104,17.193,6078939.0,10169201.0,2513506.0,482943.0,667160.0,753099.0,-7.50560265778882,92026.2307998446,0.2654300407478637,0.1921391872547748,0.2996209278991178,92033.7364025024
2016,8.71147225448456,11988668784.6628,3.90893551362245,4457.63412207495,-9347.0,-1.54313470861992,2689469.0,10.8936962925845,15.418,6625508.0,9341215.0,2911426.0,451813.0,809781.0,780791.0,-3.4754072272258947,108252.81867907757,0.278138960083478,0.1551861527650024,0.2681816401996822,108256.29408630476
2017,7.71411336285186,13258268435.6048,3.28317593330073,5006.36012951959,-14901.0,-1.54315156766944,2648285.0,9.89437224407924,13.616,6565859.0,9501195.0,3064248.0,475071.0,936643.0,833617.0,-5.626660272591507,115706.88200099312,0.3056681443538512,0.1550367333192352,0.2720461920836695,115712.5086612657
2018,7.83109146132114,15379508329.7568,3.67141928098908,5897.65452588774,-15032.0,-1.54309991591532,2607733.0,9.48151283244669,12.304,6169837.0,9780093.0,3047171.0,525927.0,979403.0,913950.0,-5.764393824060975,116851.34175929822,0.3214138622348401,0.1725951710619456,0.2999339387254604,116857.10615312228
2019,7.70621465029911,15585111614.0376,2.06257790176122,6069.43903131027,-23094.0,-1.54313709096794,2567801.0,9.45012315653745,11.466,6517560.0,10483989.0,2695223.0,336665.0,1048369.0,793904.0,-8.99368759494992,104962.3004274864,0.3889730089124351,0.1249117419968589,0.2945596709437401,104971.29411508134
2020,7.01865154497786,15241458744.5927,-3.31375636888916,6027.91350716348,-16680.0,-1.54315589345436,2528480.0,9.61841800746962,11.639,3466029.0,4477476.0,2124254.0,248521.0,834431.0,611169.0,-6.596848699613997,84013.08295893185,0.3928113116416398,0.1169921299430294,0.2877099442910311,84019.67980763146
2021,6.75791457973236,18031989573.0294,8.96957619074095,7242.45513146613,-32848.0,-1.54312080996395,2489762.0,9.52948598024897,11.474,4268607.0,5464641.0,3079897.0,359982.0,1231662.0,815685.0,-13.193228911036476,123702.4663401562,0.3999036331409784,0.1168811814161317,0.2648416489252725,123715.65956906724
2022,7.57934042905775,19017247013.8821,4.8268006234359,7756.96188744253,-16426.0,-1.54315667695786,2451636.0,9.17717025231113,10.785,4533716.0,8637367.0,3239522.0,394498.0,1075298.0,912167.0,-6.700015826166691,132137.15249735277,0.3319310688428725,0.1217766077834939,0.2815745656303615,132143.85251317895
2023,6.90036950940795,23491242727.4082,4.01541716935742,9730.86921906893,-25357.0,-1.54310811387613,2414095.0,8.66778018906039,10.669,4666996.0,7657708.0,3442610.0,455052.0,1049901.0,992164.0,-10.5037291407339,142604.57852735705,0.3049723901342295,0.1321822686856774,0.2882011032327217,142615.0822564978
2024,6.32349466068578,27046429296.6673,4.04592845095348,11377.7757431099,-24472.0,-1.54314393524594,2377128.0,8.40939322766939,10.689,4682374.0,7038503.0,3141954.0,450113.0,920184.0,922915.0,-10.294775880810793,132174.37176290044,0.2928699783637825,0.1432589401372521,0.2937391826869521,132184.66653878125
2025,,,,,-24230.0,,,,10.926,,,74903.0,11102.0,7584.0,35478.0,,,0.1012509512302578,0.1482183624153905,0.4736525906839512,
